filename,category,severity,keywords,label_id,label_name
rds-publicly-accessible.yaml,Network Oversights,CRITICAL,"PubliclyAccessible: true, RDS public, database public, 0.0.0.0/0",31,RDS_PUBLICLY_ACCESSIBLE
default-vpc-in-use.yaml,Network Oversights,MEDIUM,"Default VPC, isDefault, default-vpc, MapPublicIpOnLaunch: true",32,DEFAULT_VPC_IN_USE
s3-encryption-disabled.yaml,Lack of Encryption,MEDIUM,"BucketEncryption, SSE-S3, encryption disabled, no encryption",33,S3_ENCRYPTION_DISABLED
s3-sse-not-enforced.yaml,Lack of Encryption,MEDIUM,"PutObject, x-amz-server-side-encryption, s3:x-amz-server-side-encryption",34,S3_SSE_NOT_ENFORCED
ebs-encryption-disabled.yaml,Lack of Encryption,HIGH,"Encrypted: false, EBS encryption, Volume encryption",35,EBS_ENCRYPTION_DISABLED
rds-encryption-disabled.yaml,Lack of Encryption,HIGH,"StorageEncrypted: false, RDS encryption, database encryption",36,RDS_ENCRYPTION_DISABLED
dynamodb-encryption-disabled.yaml,Lack of Encryption,MEDIUM,"SSESpecification, KMSMasterKeyId, AWS owned key, default encryption",37,DYNAMODB_ENCRYPTION_DISABLED
lambda-env-not-encrypted.yaml,Lack of Encryption,HIGH,"KmsKeyArn, Environment, Variables, kms:Encrypt",38,LAMBDA_ENV_NOT_ENCRYPTED
sqs-encryption-disabled.yaml,Lack of Encryption,MEDIUM,"KmsMasterKeyId, SqsManagedSseEnabled, SSE, encryption",39,SQS_ENCRYPTION_DISABLED
sns-encryption-disabled.yaml,Lack of Encryption,MEDIUM,"KmsMasterKeyId, TopicEncryption, sns:Encrypt",40,SNS_ENCRYPTION_DISABLED
efs-encryption-disabled.yaml,Lack of Encryption,HIGH,"Encrypted: false, EFS encryption, KmsKeyId",41,EFS_ENCRYPTION_DISABLED
redshift-encryption-disabled.yaml,Lack of Encryption,HIGH,"Encrypted: false, Redshift encryption, KmsKeyId",42,REDSHIFT_ENCRYPTION_DISABLED
ec2-auto-assign-public-ip.yaml,Insecure Defaults,MEDIUM,"MapPublicIpOnLaunch: true, AssociatePublicIpAddress: true, PublicIp",43,EC2_AUTO_ASSIGN_PUBLIC_IP
default-security-group-in-use.yaml,Insecure Defaults,HIGH,"default security group, GroupId, SecurityGroupIngress, 0.0.0.0/0",44,DEFAULT_SECURITY_GROUP_IN_USE
ec2-default-credential-report-not-enabled.yaml,Insecure Defaults,LOW,"credential report, get-credential-report, generate-credential-report",45,EC2_DEFAULT_CREDENTIAL_REPORT_NOT_ENABLED
cloudtrail-disabled.yaml,Insecure Defaults,HIGH,"CloudTrail, Trail, IsMultiRegionTrail, EnableLogFileValidation",46,CLOUDTRAIL_DISABLED
config-recorder-disabled.yaml,Insecure Defaults,HIGH,"ConfigurationRecorder, RecordingGroup, DeliveryChannel",47,CONFIG_RECORDER_DISABLED
guardduty-disabled.yaml,Insecure Defaults,HIGH,"GuardDuty, Detector, FindingPublishingFrequency, EnableGuardDuty",48,GUARDDUTY_DISABLED
s3-logging-disabled.yaml,Insecure Defaults,MEDIUM,"LoggingConfiguration, TargetBucket, TargetPrefix, Server access logging",49,S3_LOGGING_DISABLED
iam-user-without-password-policy.yaml,Insecure Defaults,MEDIUM,"PasswordPolicy, MinimumPasswordLength, RequireUppercaseCharacters, MaxPasswordAge",50,IAM_USER_WITHOUT_PASSWORD_POLICY
